,Strand,Sub-Strand,SpecificLearningOutcomes,SuggestedLearningExperiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
0,1.0Numbers,"1.1Number
Concept
(20lessons)","sortandgroupobjectsaccordingto
differentattributeswithinthe
classroom,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
1,1.0Numbers,"1.1Number
Concept
(20lessons)","pairandmatchobjectsinthe
environment,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
2,1.0Numbers,"1.1Number
Concept
(20lessons)","orderandsequenceobjectsin
ascendinganddescendingorder,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
3,1.0Numbers,"1.1Number
Concept
(20lessons)","makepatternsusingrealobjects,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
4,1.0Numbers,"1.1Number
Concept
(20lessons)","recitenumbernamesinorderupto
50,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
5,1.0Numbers,"1.1Number
Concept
(20lessons)","representnumbers1-30using
concreteobjects,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
6,1.0Numbers,"1.1Number
Concept
(20lessons)","demonstratethroughcountingthata
groupinallsituationshasonlyone
count,"," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
7,1.0Numbers,"1.1Number
Concept
(20lessons)","appreciatetheuseofsortingand
groupingitemsindaytoday
activities."," Learnersinpairs/groupstocollectdifferenttypes
ofsafeobjects.
 Learnersinpairs/groupstosortobjectswith
sameattributeandgroupthemtogether.
 Learnerstoplaydigitalgamesinvolvingsorting
andgroupingaccordingtodifferentattributes.
 Learnersinpairs/groupstopairandmatch
objectstoestaďlish͞eƋualto͟,͞ŵoƌethaŶ͟aŶd
͞lessthaŶ.͟
 Learnerstoorderobjectsaccordingtosizefrom
smallesttobiggestandviceversa.
 Learnerstomakepatternsusingrealobjects.
 Learnerstorecitenumbernamesupto50.
 Learnerstorepresentnumbers1-30using
concreteobjectsaswellastheirbodyparts.
 Learnerstodemonstratethatanygivengroup
hasonlyonecount.
 Learnerinpairs/groupstocollectandsortlitter
intheenvironmentandputitinvariousgroups
accordingtoanattributeoftheirchoiceandgive
reasonsforthegrouping.
 Learnersinpairs/groupscouldassistinarranging,
edibleitemslikefruits,cabbagesaccordingto
sizeandcolourintheschoolstore.
 Learnerscouldvisitamarketforthemtoobserve
thesortingandgroupingoffruitsandvegetables","1)Howcanwefindout
whichgrouphasmore
objectsthananother?
2)Howcanwegroup
items?","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjectsandbeyond","Correctly:sortsandgroups, pairsand
matches, ordersandsequences, recites
numbers1-50, representsnumbers1-
30usingconcreteobjects.","Inconsistently:sortsandgroups, pairs
andmatches, ordersandsequences,
recitesnumbers1-50, representsnumbers
1-30usingconcreteobjects.","Majorinaccuraciesin:sortingand
grouping, pairingandmatching,
orderingandsequencing, reciting
numbers1-50, representingnumbers1-
30usingconcreteobjects.",one
8,1.0Numbers,"1.2WholeNumbers
(25lessons)","countnumbersforwardandbackwardup
to100,","Learnersinpairs/groupstocountby1’sand
2’supto20startingfrom anypointusing
concreteobjectsaswellasbodyparts.
 Learnerstotaketurnsincountingby:
 -5’supto50startingfrom zero
 -10’supto100startingfrom zero.
 Learnersinpairs/groupstocountby1’s
and2areusinganumberline.
 Learners in pairs/groups to play games
that involve representing numbers 1-
50usingconcreteobjects.
 Learnerstoidentifyplacevalueofones
andtens.
 Learnersinpairstoreciteandwrite
numbers1-50insymbols.
 Learnerstopracticewritingnumbers
1-10inwords.
 Learnerstoidentifymissing
numbersinnumberpatternsupto
20.
 Learnersinpairstocreatepatternswith
numbersupto20andsharewithother
groups.
 Learnerstoplaydigital
gamesinvolvingwhole
numbers.
 Learnerstoroleplayacashierinday
todaylifeactivitiessuchasacashier
counting5shillingcoins","Howmanyways
canwecountfrom
1-20?","Correctly:countsupto100, represents
numbers1-50usingconcreteobjects,
identifiesplacevalueofonesand
tens, reads, writesnumbersin
symbolsandwords, worksout
missingnumbersinnumberpatterns
andbeyond","Correctly:countsupto100,
representsnumbers1-50using
concreteobjects, identifiesplacevalue
ofonesandtens, reads, writes
numbersinsymbolsandwords, works
outmissingnumbersinnumber
patterns.","Inconsistently:countsupto100,
representsnumbers1-50usingconcrete
objects, identifiesplacevalueofonesand
tens, reads, writesnumbersinsymbols
andwords, worksoutmissingnumbers
innumberpatterns.","Majorinaccuraciesin:countingupto
100, representingnumbers1-50using
concreteobjects, identifyingplacevalue
ofonesandtens, readingandwriting
numbersinsymbolsandwords,
workingoutmissingnumbersinnumber
patterns.",one
9,1.0Numbers,"1.2WholeNumbers
(25lessons)","representnumbers1-50usingconcrete
objects,","Learnersinpairs/groupstocountby1’sand
2’supto20startingfrom anypointusing
concreteobjectsaswellasbodyparts.
 Learnerstotaketurnsincountingby:
 -5’supto50startingfrom zero
 -10’supto100startingfrom zero.
 Learnersinpairs/groupstocountby1’s
and2areusinganumberline.
 Learners in pairs/groups to play games
that involve representing numbers 1-
50usingconcreteobjects.
 Learnerstoidentifyplacevalueofones
andtens.
 Learnersinpairstoreciteandwrite
numbers1-50insymbols.
 Learnerstopracticewritingnumbers
1-10inwords.
 Learnerstoidentifymissing
numbersinnumberpatternsupto
20.
 Learnersinpairstocreatepatternswith
numbersupto20andsharewithother
groups.
 Learnerstoplaydigital
gamesinvolvingwhole
numbers.
 Learnerstoroleplayacashierinday
todaylifeactivitiessuchasacashier
counting5shillingcoins","Howmanyways
canwecountfrom
1-20?","Correctly:countsupto100, represents
numbers1-50usingconcreteobjects,
identifiesplacevalueofonesand
tens, reads, writesnumbersin
symbolsandwords, worksout
missingnumbersinnumberpatterns
andbeyond","Correctly:countsupto100,
representsnumbers1-50using
concreteobjects, identifiesplacevalue
ofonesandtens, reads, writes
numbersinsymbolsandwords, works
outmissingnumbersinnumber
patterns.","Inconsistently:countsupto100,
representsnumbers1-50usingconcrete
objects, identifiesplacevalueofonesand
tens, reads, writesnumbersinsymbols
andwords, worksoutmissingnumbers
innumberpatterns.","Majorinaccuraciesin:countingupto
100, representingnumbers1-50using
concreteobjects, identifyingplacevalue
ofonesandtens, readingandwriting
numbersinsymbolsandwords,
workingoutmissingnumbersinnumber
patterns.",one
