,Strand,Sub-strand,"Specific Learning
Outcomes",Suggested Learning Experiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
0,"1.0
Numbers","1.1 Number
Concept
(8 lessons)",use ordinal numbers," Learners in pairs/groups to arrange different items
in order of size starting with the smallest.
 Learners to identify the position of an object from
a reference point using first, second up to 20th .
 Learners in groups to run for a distance and each to
identify their position using the words first, second
up to 20th position.
 Learners in pairs/groups to relate numbers 1 –20
to positions first, second up to 20th using concrete
objects.
 Learners to play digital games involving position 1st -
20th.","In which
position were
you when you
came to class
in the
morning?","Correctly uses ordinal numbers
in identifying positions from 1st-
20thand beyond with ease.","Correctly uses ordinal numbers
in identifying positions from 1st-
20th.","Inconsistently uses ordinal
numbers in identifying positions
from 1st-20th.","Major inaccuracies in using
ordinal numbers in
identifying positions from 1st-",three
1,"1.0
Numbers","1.1 Number
Concept
(8 lessons)",identify position from 1-20," Learners in pairs/groups to arrange different items
in order of size starting with the smallest.
 Learners to identify the position of an object from
a reference point using first, second up to 20th .
 Learners in groups to run for a distance and each to
identify their position using the words first, second
up to 20th position.
 Learners in pairs/groups to relate numbers 1 –20
to positions first, second up to 20th using concrete
objects.
 Learners to play digital games involving position 1st -
20th.","In which
position were
you when you
came to class
in the
morning?","Correctly uses ordinal numbers
in identifying positions from 1st-
20thand beyond with ease.","Correctly uses ordinal numbers
in identifying positions from 1st-
20th.","Inconsistently uses ordinal
numbers in identifying positions
from 1st-20th.","Major inaccuracies in using
ordinal numbers in
identifying positions from 1st-",three
2,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","count numbers forward
and backward from 1-
1000,"," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
3,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","identify place value up
to thousands,"," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
4,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","read numbers 1-1000 in
symbols,"," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
5,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","read and write numbers
1-100 in words,"," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
6,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","identify missing numbers
in number patterns up to
1000,"," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
7,"1.0
Numbers","1.2 Whole
Numbers
(20 lessons)","appreciate number
patterns as they skip on a
number line."," Learners in pairs/groups to count in 2’s and 5’s
forward and backward starting from any point.
 Learners in pairs/groups to count their fingers
and toes in 2’s and 10’s forward and backward
starting from any point.
 Learners in pairs / groups to discuss place
value up to thousands.
 Learners in pairs / groups to compete
reading numbers 1-1000 in symbols.
 Learners to read and write numbers 1-100
in words.
 Learners to play digital games involving
whole numbers.
 Learners in pairs/groups to make number
patterns up to 1000 and share with other groups.","How would you get
the total number
of people in a
group?","Correctly: counts numbers from 1
-1000, reads and writes numbers
1-100 in words, reads and writes
number symbols from 1 -1000,
identifies place value up to
thousands, works out missing
numbers in patterns up to 1000
with ease.","Correctly: counts numbers from 1
-1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value
up to thousands, works out
missing numbers in patterns up
to 1000.","Inconsistently: counts numbers
from 1 -1000, reads and writes
numbers 1-100 in words, reads
and writes number symbols from
1 -1000, identifies place value up
to thousands, works out missing
numbers in patterns up to 1000.","Major inaccuracies in: counting
numbers from 1 -1000,
reading and writing numbers 1-
100 in words, reading and
writing number symbols from
1-1000, identifying place
value up to thousands, working
out missing numbers in",three
8,"1.0
Numbers","1.1
Fractions
(10 lessons)","identify , and as part
12 14 18
of a whole."," Learners in pairs /groups to make circular
cut-outs.
 Learners in pairs /groups to fold circular cut-
outs into 2 equal parts and identify one part
12
as
of the whole.
 Learners in pairs /groups to make rectangular
cut-outs and fold them into 4 equal parts to
get a quarter of a whole and identify each part
14
as
of the whole.
 Lcueta-ronuetrssainndpfaoirlds /tgor1go8eutp8s teoqumaalkpearrtesctaanndgular
identify one part as of the whole.
 Lobejaercntesrisnitnop2aeirqsu/aglrgoruo1pus2ptsoadnidviiddeenatnifuymebaecrhof
of the small groups as of the whole group.
 Lobejaercntesrisnitnop4aeirqsu/aglrgoruo1pus4ptsoadnidviiddeenatnifuymebaecrhof
of the small groups a1s8 of the whole group.
 Lobejaercntesrisnitnop8aeirqsu/aglrgoruopusptsoadnidviiddeenatnifuymebaecrhof
1/2 1/4 1/8
of the small groups of the whole group
, and .
 Learners to play digital games involving","How can you
represent a
half, a quarter
or an eighth
of a group"," Correctly identifies
, , and more as
part of a whole and as
part of a group."," Correctly identifies ,
and as part of a
whole and as part of a
group.",", and as
part of a whole and as
part of
a group.","1/8
identifying , and
as part of a whole
and as part of a group.",three
9,"1.0
Numbers","1.1
Fractions
(10 lessons)","identify , and as part
of a group."," Learners in pairs /groups to make circular
cut-outs.
 Learners in pairs /groups to fold circular cut-
outs into 2 equal parts and identify one part
12
as
of the whole.
 Learners in pairs /groups to make rectangular
cut-outs and fold them into 4 equal parts to
get a quarter of a whole and identify each part
14
as
of the whole.
 Lcueta-ronuetrssainndpfaoirlds /tgor1go8eutp8s teoqumaalkpearrtesctaanndgular
identify one part as of the whole.
 Lobejaercntesrisnitnop2aeirqsu/aglrgoruo1pus2ptsoadnidviiddeenatnifuymebaecrhof
of the small groups as of the whole group.
 Lobejaercntesrisnitnop4aeirqsu/aglrgoruo1pus4ptsoadnidviiddeenatnifuymebaecrhof
of the small groups a1s8 of the whole group.
 Lobejaercntesrisnitnop8aeirqsu/aglrgoruopusptsoadnidviiddeenatnifuymebaecrhof
1/2 1/4 1/8
of the small groups of the whole group
, and .
 Learners to play digital games involving","How can you
represent a
half, a quarter
or an eighth
of a group"," Correctly identifies
, , and more as
part of a whole and as
part of a group."," Correctly identifies ,
and as part of a
whole and as part of a
group.",", and as
part of a whole and as
part of
a group.","1/8
identifying , and
as part of a whole
and as part of a group.",three
10,"1.0
Numbers","1.2 Addition
(25 lessons)","add a 3-digit number to up to a 2 -
digit number without regrouping
with sum not exceeding 1000,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
11,"1.0
Numbers","1.2 Addition
(25 lessons)","add a 3-digit number to up to a 2-
digit number with single
regrouping with sum not exceeding
1000,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
12,"1.0
Numbers","1.2 Addition
(25 lessons)","add three single digit numbers
with sum up to 27,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
13,"1.0
Numbers","1.2 Addition
(25 lessons)","add two 3-digit numbers without
regrouping,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
14,"1.0
Numbers","1.2 Addition
(25 lessons)","add two 3-digit numbers with single
regrouping with sum not exceeding
1000,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
15,"1.0
Numbers","1.2 Addition
(25 lessons)","work out missing numbers in
patterns involving addition up to
1000,"," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
16,"1.0
Numbers","1.2 Addition
(25 lessons)","create number patterns involving
addition up to 1000."," Learners to add up to two 3-digit
numbers without and with
regrouping with sum not exceeding
1000.
 Learners to practice adding
horizontally and vertically.
 Learners in pairs to come up with
different ways of adding 3-single
digit numbers.
 Learners to play digital games
involving addition.
 Learners to create and work out
missing numbers in patterns involving
addition up to 1000."," How do you
arrange numbers
when adding
vertically
 How do you
identify the first
two numbers to
add when adding
three single digit
numbers?
 How can you get
the next number in
a given pattern?"," Correctly: adds a 3-digit
number to up to 3-digit
numbers with double
regrouping with sum not
exceeding 1000,works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Correctly: adds a 3-digit
number to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000 works out
missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Inconsistently: adds a 3-
digit number to up to 3-
digit numbers with single
regrouping with sum not
exceeding 1000, works
out missing numbers in
number patterns up to
1000, creates patterns
involving addition up to
1000."," Major inaccuracies in:
adding a 3-digit number
to up to 3-digit
numbers with single
regrouping with sum not
exceeding 1000,
working out missing
numbers in number
patterns up to 1000,
creating patterns
involving addition up to",three
17,"1.0
Numbers","1.5 Subtraction
(20 lessons)","subtract up to 3-digit numbers
without regrouping,"," Learners to work out subtraction
of up to 3-digit numbers without
regrouping in real life situations.
 Learners to work out missing
numbers in subtraction of up to 3-
digit numbers with single
regrouping using a variety of
strategies such as number families.
 Learners to play digital games
involving subtraction.
 Learners to discuss how to work out
missing numbers in patterns
involving subtraction up to 1000.","1)When do you regroup
during subtraction?
2)How do you identify
the missing number in a
number pattern"," Correctly: subtracts up to
3-digit numbers without
regrouping, subtracts up
to 3-digit numbers
involving missing
numbers with single
regrouping, works out
missing numbers in
patterns up to 1000 with
ease."," Correctly: subtracts up
to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping, works
out missing numbers in
patterns up to 1000."," Inconsistently: subtracts
up to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping,
works out missing
numbers in patterns up
to 1000."," Major inaccuracies in:
subtracting up to 3-digit
numbers without
regrouping, subtracting
up to 3-digit numbers
involving missing
numbers with single
regrouping, working out
missing numbers in
patterns up to 1000.",three
