,Strand,Sub-strand,"Specific Learning
Outcomes",Suggested Learning Experiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
0,1.0Numbers,"1.1
Number
Concept
(8
lessons)","read numbers 1-100 in symbols,"," Learners to read number names from 1-100.
 Learners in groups of five to count their fingers
and toes.
 Learners in pairs/groups to play games of
representing numbers 1-100 using safe concrete
objects.
 Learners to play digital games of representing
groups with numbers.","How can we find the
number of objects
in a group?","Correctly: reads numbers more
than100 in symbols, represents
numbers more than 100 using
concrete objects.","Correctly: reads numbers 1-100 in
symbols, represents numbers 1-100
using concrete objects.","Inconsistently: reads numbers 1-100
in symbols, represents numbers 1-100
using concrete objects.","Major inaccuracies in: reading
numbers 1-100 in symbols,
representing numbers 1-100 using
concrete objects.",two
1,1.0Numbers,"1.1
Number
Concept
(8
lessons)","represent numbers 1-100 using concrete
objects in the environment."," Learners to read number names from 1-100.
 Learners in groups of five to count their fingers
and toes.
 Learners in pairs/groups to play games of
representing numbers 1-100 using safe concrete
objects.
 Learners to play digital games of representing
groups with numbers.","How can we find the
number of objects
in a group?","Correctly: reads numbers more
than100 in symbols, represents
numbers more than 100 using
concrete objects.","Correctly: reads numbers 1-100 in
symbols, represents numbers 1-100
using concrete objects.","Inconsistently: reads numbers 1-100
in symbols, represents numbers 1-100
using concrete objects.","Major inaccuracies in: reading
numbers 1-100 in symbols,
representing numbers 1-100 using
concrete objects.",two
2,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)","count numbers forward and backward up
to 100,"," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
3,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)",identify place value up to hundreds.," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
4,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)","read numbers 1-100 in symbols,"," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
5,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)","read and write numbers 1-20 in words,"," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
6,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)","work out missing numbers in number patterns
up to 100,"," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
7,"1.0
Numbers","1.2 Whole
Numbers
(20
lessons)","appreciate number patterns as they skip on
the number line."," Learners in pairs/groups to count in 2's and 5's
forward and backward starting from any
point.
 Learners in pairs/groups to count their fingers
and toes in 2's and 10's forward and backward
starting at any point.
 Learners in pairs / groups to discuss place value
up to hundreds.
 Learners in pairs to read numbers 1-100
in symbols.
 Learners to read and write numbers 1-20 in words.
 Learners to play digital games involving
whole numbers.
 Learners to work out missing numbers in","How do we get
the next
number in a
pattern?","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Correctly: Counts to more than100,
identifies place value up to more
than hundreds, reads numbers more
than100 in symbols, reads and writes
numbers more than20 in words,
works out missing numbers in
patterns.","Inconsistently: counts from 1-100,
identifies place value up to hundreds,
reads numbers 1-100 in symbols,
reads and writes numbers 1-20 in
words, works out missing numbers
in patterns.","Major inaccuracies in: counting
from 1-100, identifying place value
up to hundreds, reading numbers 1-
100 in symbols; reading and writing
numbers 1-20 in words, working out
missing numbers in patterns.",two
8,"1.0
Numbers","1.3 Fractions
(12lessons)",," Learners in pairs to make circular paper cut-outs.
 Learners in pairs to fold the circular paper cut – outs
into two equal parts and identify one of the parts as
12
a
half of the whole written as .
 Louetasrnaenrdsfionldpatihresmtoimnt1ao2ktewroecetqaunagluplaarrtpsatpoegrectuat –half
of a whole written as .
14
 Learners in pairs to fold circular paper cut – outs to
get 4 equal parts and identify one of the parts as a
of a whole.
 Learners to play digital games involving fractions.
 Learners in pairs to practice making halves and","What fraction do
you get when you
fold a circular paper
cut- out into 4 equal
parts?","Correctlyidentifies and andmore
fractionsaspartofawhole.","Correctlyidentifies and aspartofa
whole.","Inconsistentlyidentifies and aspart
ofawhole","Majorinaccuraciesinidentifying
14
and aspartofawhole.",two
9,"1.0
Numbers","1.4 Addition
(20lessons)","add a 2-digit number to a 1-digit
number without and with
regrouping with sum not exceeding
100,"," Learners in pairs to write addition sentences given
in horizontal form vertically according to place
value.
 Learners to add a 2-digit number to a 1-digit
number without and with regrouping.
 Learners to practice addition by skipping on
the number line.
 Learners in pairs/groups to collect different safe
objects and use them in addition of 3-single
digit numbers.
 Learners in pairs/groups to practice breaking
numbers apart to make a 10.
 Learners in pairs to come up with different ways
of adding two 2-digit numbers without and with
regrouping.
 Learners to play digital games involving addition.
 Learners in groups to make patterns using numbers
up to 100."," How can we
align a 2-digit
number and a
1- digit number
vertically in
order to add?
 When do we
regroup?","Correctly:addsmorethantwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Correctly:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Inconsistently:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Majorinaccuraciesin:addinguptotwo
2-digitnumberswithsumsnot
exceeding100usingdifferentstrategies,
workingoutmissingnumbersinpatterns
upto100.",two
