Indicators,Exceeds Expectations,Meets Expectations,"Approaches 
Expectations",Below Expectations
"Identify the Centimetre as a 
unit of measuring length.","Identifies the centimetre as a 
unit of measuring length 
accurately and with ease.","Identifies the centimetre as a 
unit of measuring length 
accurately.","Inconsistently identifies 
the centimetre as a unit of 
measuring length.","Little evidence in identifying 
the centimetre as a unit of 
measuring length."
"Measure length in 
centimetres.","Measures length in 
centimetres accurately and 
with ease.","Measures length in 
centimetres accurately.","Inconsistently measures 
length in centimetres.","Little evidence in measuring 
length in centimetres."
"Estimate length in 
centimetres.","Estimates length in 
centimetres accurately and 
with ease.","Estimates length in 
centimetres accurately.","Inconsistently estimates 
length in centimetres.","Little evidence in estimating 
length in centimetres."
"Establish the relationship 
between metres and 
centimetres.","Establishes the relationship 
between metres and 
centimetres correctly and 
with ease.","Establishes the relationship 
between metres and 
centimetres correctly.","Inconsistently establishes 
the relationship between 
metres and centimetres.","Little evidence in estimating 
the relationship between 
metres and centimetres."
"Convert metres to 
centimetres.","Converts metres to 
centimetres and beyond 
correctly.","Converts metres to 
centimetres correctly.","Inconsistently converts 
metres to centimetres.","Little evidence in converting 
metres to centimetres."
"Convert centimetres    to 
metres.","Converts centimetres    to 
metres and beyond correctly.","Converts centimetres    to 
metres correctly.","Inconsistently converts 
centimetres to metres.","Little evidence in converting 
centimetres to metres."
"Work out perimeter of 
plane shapes.","Works out perimeter of plane 
shapes correctly and with 
ease.","Works out perimeter of 
plane shapes correctly.","Inconsistently works out 
perimeter of plane shapes.","Little evidence in working out 
perimeter of plane shapes."
Add length in centimetres and metres,"Adds length in centimetres and metres correctly and with
ease",Adds length in centimetres and metres correctly,Inconsistently adds length in centimetres and metres,"Little evidence in adding length in centimetres and
metres"
"Subtract length in 
centimetres and metres.","Subtracts length in 
centimetres and metres 
correctly and with ease.","Subtracts length in 
centimetres and metres 
correctly.","Inconsistently subtracts 
length in centimetres and 
metres.","Little evidence in subtracting 
length in centimetres and 
metres."
"Multiply length in 
centimetres and metres.","Multiplies length in 
centimetres and metres 
correctly and with ease.","Multiplies length in 
centimetres and metres 
correctly.","Inconsistently multiplies 
length in centimetres and 
metres.","Little evidence in multiplying 
length in centimetres and 
metres."
"Divide length in 
centimetres and metres.","Divides length in centimetres 
and metres correctly and with 
ease.","Divides length in 
centimetres and metres 
correctly.","Inconsistently divides 
length in centimetres and 
metres.","Little evidence in dividing 
length in centimetres and 
metres."
"Use IT devices for learning 
and enjoyment.","Uses IT devices for learning 
and enjoyment fast and 
efficiently.","Uses IT devices for learning 
and enjoyment efficiently.","Inconsistently uses IT 
devices for learning and 
enjoyment.","Little evidence in using IT 
devices for learning and 
enjoyment."
